time,day,ID_old,IO,antenna,ID,dep_time,g,density,a,b,c,int
227.4182060185185,227,0756D2,In,2,1,227.41805555555555,568,2.73,103,66,60,0.2
227.41864583333333,227,0756D2,Out,2,1,227.41805555555555,568,2.73,103,66,60,0.2
227.4186574074074,227,0756D2,In,2,1,227.41805555555555,568,2.73,103,66,60,0.2
227.41898148148147,227,0756D2,Out,2,1,227.41805555555555,568,2.73,103,66,60,0.2
227.4194560185185,227,0756D2,In,2,1,227.41805555555555,568,2.73,103,66,60,0.2
227.41975694444443,227,0756D2,Out,2,1,227.41805555555555,568,2.73,103,66,60,0.2
227.42034722222223,227,075131,In,2,2,227.42013888888889,720,2.65,142,61,51,0.2
227.42082175925927,227,075131,Out,2,2,227.42013888888889,720,2.65,142,61,51,0.2
227.42096064814814,227,0756D2,In,2,1,227.41805555555555,568,2.73,103,66,60,0.2
227.42109953703704,227,075131,In,2,2,227.42013888888889,720,2.65,142,61,51,0.2
227.4212037037037,227,0756D2,Out,2,1,227.41805555555555,568,2.73,103,66,60,0.2
227.4215509259259,227,075131,Out,2,2,227.42013888888889,720,2.65,142,61,51,0.2
227.42158564814812,227,075131,In,4,2,227.42013888888889,720,2.65,142,61,51,0.2
227.4216319444444,227,0756D2,In,2,1,227.41805555555555,568,2.73,103,66,60,0.2
227.4216782407407,227,075131,In,2,2,227.42013888888889,720,2.65,142,61,51,0.2
227.4218171296296,227,075131,Out,4,2,227.42013888888889,720,2.65,142,61,51,0.2
227.42192129629626,227,075131,Out,2,2,227.42013888888889,720,2.65,142,61,51,0.2
227.42207175925924,227,075131,In,2,2,227.42013888888889,720,2.65,142,61,51,0.2
227.42209490740737,227,0756D2,Out,2,1,227.41805555555555,568,2.73,103,66,60,0.2
227.42233796296296,227,075131,Out,2,2,227.42013888888889,720,2.65,142,61,51,0.2
227.42255787037035,227,075131,In,2,2,227.42013888888889,720,2.65,142,61,51,0.2
227.42285879629628,227,075131,Out,2,2,227.42013888888889,720,2.65,142,61,51,0.2
227.42289351851852,227,075131,In,2,2,227.42013888888889,720,2.65,142,61,51,0.2
