ID,day,min_dist,max_dist,dist,time
1,228,111,155,134,228.39583333333337
1,229,288,329,308,229.36458333333337
1,230,287,347,313,230.34375
1,231,295,380,328,231.375
1,232,501,534,519,232.36458333333337
2,228,76,122,92,228.39583333333337
2,229,168,246,210,229.36458333333337
2,230,178,257,214,230.34375
2,231,176,258,212,231.375
2,232,174,261,212,232.36458333333337
2,233,240,323,285,233.35416666666669
2,234,271,343,315,234.34375
2,236,454,503,488,236.36458333333337
2,237,457,517,494,237.33333333333337
2,238,458,513,495,238.42708333333331
3,228,93,136,112,228.39583333333337
3,229,78,140,116,229.36458333333337
3,230,83,147,118,230.34375
3,231,375,443,412,231.375
4,228,13,58,31,228.39583333333337
4,229,20,60,40,229.36458333333337
4,230,86,159,135,230.34375
4,231,90,158,133,231.375
4,232,171,227,199,232.36458333333337
4,233,219,277,246,233.35416666666669
4,234,291,336,315,234.34375
4,235,342,395,368,235.36458333333337
1,227,NA,NA,0,227.36458333333337
2,227,NA,NA,0,227.36458333333337
3,227,NA,NA,0,227.36458333333337
4,227,NA,NA,0,227.36458333333337
